nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 100.0000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 5 - Loc: save/pmf/lastfm-alg40-sp5-20170409134153300 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/lastfm-alg40-sp5-20170409134153300 --user data/lastfm/ctr-data/sp5/train-users.dat --item data/lastfm/ctr-data/sp5/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/lastfm-alg40-sp5-20170409134153300/ctr-log

iter time likelihood converge
0001 000011 -35734.54256 1.0000000000
0002 000022 -8917.57017 0.7504495780
0003 000033 -8003.56295 0.1024950972
0004 000044 -7766.91084 0.0295683452
0005 000054 -7662.24536 0.0134758191
0006 000065 -7604.05328 0.0075946502
0007 000077 -7567.18621 0.0048483450
0008 000088 -7541.80547 0.0033540525
0009 000099 -7523.30256 0.0024533796
0010 000110 -7509.23972 0.0018692373
0011 000121 -7498.20873 0.0014689883
0012 000132 -7489.33982 0.0011828046
0013 000143 -7482.06664 0.0009711375
0014 000154 -7476.00435 0.0008102427
0015 000165 -7470.88207 0.0006851622
0016 000176 -7466.50352 0.0005860831
0017 000187 -7462.72292 0.0005063407
0018 000198 -7459.42983 0.0004412715
0019 000210 -7456.53909 0.0003875283
0020 000221 -7453.98407 0.0003426556
0021 000232 -7451.71195 0.0003048192
0022 000243 -7449.68041 0.0002726281
0023 000254 -7447.85513 0.0002450139
0024 000265 -7446.20806 0.0002211468
0025 000276 -7444.71602 0.0002003762
0026 000287 -7443.35969 0.0001821872
0027 000298 -7442.12283 0.0001661690
0028 000309 -7440.99170 0.0001519908
0029 000320 -7439.95454 0.0001393844
0030 000333 -7439.00126 0.0001281297
0031 000344 -7438.12312 0.0001180454
0032 000355 -7437.31251 0.0001089803
0033 000366 -7436.56278 0.0001008075
0034 000377 -7435.86805 0.0000934197
0035 000390 -7435.22317 0.0000867255
0036 000401 -7434.62355 0.0000806462
0037 000412 -7434.06511 0.0000751140
0038 000423 -7433.54420 0.0000700701
0039 000434 -7433.05758 0.0000654631
0040 000446 -7432.60232 0.0000612478
0041 000457 -7432.17580 0.0000573846
0042 000468 -7431.77567 0.0000538385
0043 000479 -7431.39978 0.0000505785
0044 000491 -7431.04622 0.0000475769
0045 000503 -7430.71324 0.0000448093
0046 000514 -7430.39926 0.0000422537
0047 000525 -7430.10286 0.0000398907
0048 000537 -7429.82272 0.0000377028
0049 000548 -7429.55767 0.0000356742
0050 000559 -7429.30662 0.0000337909
0051 000570 -7429.06858 0.0000320402
0052 000581 -7428.84266 0.0000304108
0053 000592 -7428.62802 0.0000288923
0054 000602 -7428.42391 0.0000274755
0055 000613 -7428.22965 0.0000261520
0056 000624 -7428.04458 0.0000249142
0057 000635 -7427.86812 0.0000237552
0058 000646 -7427.69974 0.0000226689
