nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 6 - Loc: save/pmf/delicious-alg40-sp6-20170409142652826 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp6-20170409142652826 --user data/delicious/ctr-data/sp6/train-users.dat --item data/delicious/ctr-data/sp6/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp6-20170409142652826/ctr-log

iter time likelihood converge
0001 000034 -8095.51622 1.0000000000
0002 000070 -7245.35934 0.1050157706
0003 000105 -6827.35466 0.0576927468
0004 000140 -6537.89606 0.0423968888
0005 000176 -6316.69350 0.0338339059
0006 000212 -6139.19542 0.0280998406
0007 000248 -5992.56148 0.0238848790
0008 000284 -5868.98102 0.0206223107
0009 000320 -5763.24378 0.0180162853
0010 000355 -5671.66683 0.0158898285
0011 000390 -5591.54395 0.0141268663
0012 000426 -5520.83034 0.0126465263
0013 000461 -5457.94729 0.0113901444
0014 000496 -5401.65431 0.0103139457
0015 000530 -5350.96214 0.0093845654
0016 000565 -5305.07154 0.0085761385
0017 000600 -5263.32950 0.0078683282
0018 000635 -5225.19696 0.0072449462
0019 000671 -5190.22490 0.0066929655
0020 000710 -5158.03616 0.0062018003
0021 000746 -5128.31157 0.0057627721
0022 000781 -5100.77916 0.0053687082
0023 000816 -5075.20571 0.0050136366
0024 000852 -5051.39005 0.0046925510
0025 000887 -5029.15773 0.0044012281
0026 000923 -5008.35671 0.0041360843
0027 000958 -4988.85386 0.0038940622
0028 000994 -4970.53209 0.0036725400
0029 001030 -4953.28803 0.0034692587
0030 001065 -4937.03003 0.0032822632
0031 001100 -4921.67659 0.0031098543
0032 001135 -4907.15494 0.0029505491
0033 001171 -4893.39995 0.0028030488
0034 001206 -4880.35310 0.0026662119
0035 001241 -4867.96173 0.0025390315
0036 001276 -4856.17826 0.0024206171
0037 001312 -4844.95962 0.0023101788
0038 001348 -4834.26673 0.0022070142
0039 001383 -4824.06402 0.0021104968
0040 001419 -4814.31909 0.0020200672
0041 001454 -4805.00230 0.0019352239
0042 001490 -4796.08654 0.0018555166
0043 001525 -4787.54692 0.0017805396
0044 001560 -4779.36057 0.0017099267
0045 001595 -4771.50642 0.0016433466
0046 001630 -4763.96506 0.0015804986
0047 001664 -4756.71855 0.0015211093
0048 001699 -4749.75029 0.0014649300
0049 001733 -4743.04491 0.0014117337
0050 001767 -4736.58814 0.0013613131
0051 001801 -4730.36673 0.0013134786
0052 001836 -4724.36836 0.0012680566
0053 001871 -4718.58154 0.0012248876
0054 001907 -4712.99556 0.0011838253
0055 001945 -4707.60043 0.0011447349
0056 001981 -4702.38680 0.0011074925
0057 002016 -4697.34592 0.0010719835
0058 002052 -4692.46959 0.0010381023
