nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 0.0100]
Staring Sample 6 - Loc: save/sorec/lastfm-alg50-sp6-20170417105621312 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp6-20170417105621312 --user data/lastfm/ctr-data/sp6/train-users.dat --item data/lastfm/ctr-data/sp6/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 0.010000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp6-20170417105621312/ctr-log

iter time likelihood converge
0001 000008 -22372.48825 1.0000000000
0002 000017 3284.46405 1.1468081695
0003 000025 5565.35579 0.6944486865
0004 000033 5954.18517 0.0698660411
0005 000042 6129.21382 0.0293959037
0006 000050 6227.93321 0.0161063703
0007 000058 6290.09527 0.0099811709
0008 000067 6332.65990 0.0067669294
0009 000075 6363.76627 0.0049120540
0010 000083 6387.67951 0.0037577175
0011 000092 6406.79917 0.0029932100
0012 000100 6422.55496 0.0024592290
0013 000108 6435.84051 0.0020685775
0014 000117 6447.23920 0.0017711273
0015 000125 6457.14819 0.0015369354
0016 000134 6465.84912 0.0013474871
0017 000142 6473.54941 0.0011909166
0018 000150 6480.40700 0.0010593246
0019 000159 6486.54554 0.0009472474
0020 000167 6492.06410 0.0008507703
0021 000175 6497.04353 0.0007670020
0022 000184 6501.55088 0.0006937533
0023 000192 6505.64251 0.0006293313
0024 000200 6509.36636 0.0005724033
0025 000209 6512.76361 0.0005219023
0026 000217 6515.86994 0.0004769599
0027 000225 6518.71645 0.0004368585
0028 000234 6521.33043 0.0004009963
0029 000242 6523.73590 0.0003688617
0030 000251 6525.95407 0.0003400149
0031 000259 6528.00370 0.0003140744
0032 000268 6529.90144 0.0002907068
0033 000276 6531.66203 0.0002696193
0034 000285 6533.29856 0.0002505540
0035 000293 6534.82267 0.0002332832
0036 000302 6536.24468 0.0002176059
0037 000310 6537.57379 0.0002033445
0038 000319 6538.81817 0.0001903421
0039 000327 6539.98509 0.0001784606
0040 000336 6541.08105 0.0001675781
0041 000344 6542.11184 0.0001575873
0042 000353 6543.08265 0.0001483937
0043 000361 6543.99812 0.0001399146
0044 000370 6544.86243 0.0001320771
0045 000378 6545.67935 0.0001248173
0046 000387 6546.45225 0.0001180789
0047 000395 6547.18423 0.0001118127
0048 000404 6547.87807 0.0001059752
0049 000412 6548.53632 0.0001005284
0050 000421 6549.16130 0.0000954385
0051 000429 6549.75515 0.0000906758
0052 000438 6550.31983 0.0000862137
0053 000447 6550.85714 0.0000820290
0054 000455 6551.36877 0.0000781006
0055 000464 6551.85625 0.0000744096
0056 000472 6552.32104 0.0000709394
0057 000481 6552.76446 0.0000676744
0058 000489 6553.18778 0.0000646009
