nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 7 - Loc: save/sorec/lastfm-alg50-sp7-20170416114202711 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp7-20170416114202711 --b 1 --user data/lastfm/ctr-data/sp7/train-users.dat --item data/lastfm/ctr-data/sp7/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp7-20170416114202711/ctr-log

iter time likelihood converge
0001 000009 -35885.96986 1.0000000000
0002 000017 -13415.87429 0.6261526624
0003 000025 -11366.95824 0.1527232597
0004 000034 -9570.98813 0.1579991827
0005 000042 -8699.42184 0.0910633549
0006 000051 -8115.81796 0.0670853640
0007 000060 -7666.63655 0.0553464118
0008 000068 -7328.26014 0.0441362267
0009 000077 -7064.77346 0.0359548764
0010 000085 -6858.28929 0.0292272883
0011 000093 -6683.86148 0.0254331366
0012 000102 -6530.34937 0.0229675770
0013 000110 -6402.22477 0.0196198694
0014 000119 -6285.91273 0.0181674410
0015 000127 -6177.61361 0.0172288625
0016 000135 -6078.96988 0.0159679339
0017 000144 -5990.74068 0.0145138408
0018 000152 -5907.30170 0.0139279905
0019 000161 -5826.43731 0.0136888876
0020 000169 -5746.67668 0.0136894348
0021 000177 -5674.82678 0.0125028603
0022 000186 -5606.76831 0.0119930490
0023 000194 -5543.64344 0.0112586905
0024 000203 -5488.89307 0.0098762430
0025 000211 -5440.36884 0.0088404404
0026 000219 -5397.66199 0.0078499906
0027 000228 -5356.13901 0.0076927711
0028 000236 -5312.80387 0.0080907420
0029 000244 -5268.75154 0.0082917299
0030 000253 -5225.61732 0.0081868007
0031 000261 -5185.62293 0.0076535240
0032 000270 -5148.35690 0.0071864133
0033 000278 -5112.80917 0.0069046754
0034 000286 -5078.73795 0.0066638938
0035 000295 -5046.75574 0.0062972758
0036 000303 -5016.17018 0.0060604388
0037 000311 -4987.03022 0.0058092064
0038 000320 -4960.52762 0.0053143035
0039 000328 -4936.46810 0.0048501952
0040 000342 -4914.56697 0.0044365987
0041 000351 -4894.76021 0.0040302135
0042 000359 -4876.67292 0.0036952371
0043 000368 -4859.98465 0.0034220597
0044 000376 -4844.22109 0.0032435421
0045 000384 -4829.03756 0.0031343576
0046 000393 -4814.67219 0.0029747904
0047 000401 -4801.42896 0.0027505985
0048 000409 -4789.12003 0.0025635967
0049 000418 -4777.16942 0.0024953664
0050 000426 -4765.17898 0.0025099462
0051 000435 -4753.30382 0.0024920719
0052 000443 -4742.02050 0.0023737842
0053 000452 -4731.66822 0.0021830949
0054 000460 -4722.26339 0.0019876347
0055 000468 -4713.63735 0.0018266751
