nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 8 - Loc: save/sorec/lastfm-alg50-sp8-20170416155421242 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp8-20170416155421242 --user data/lastfm/ctr-data/sp8/train-users.dat --item data/lastfm/ctr-data/sp8/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp8-20170416155421242/ctr-log

iter time likelihood converge
0001 000016 -13805.15245 1.0000000000
0002 000032 -1833.66785 0.8671751103
0003 000049 3368.04008 2.8367776269
0004 000065 5453.17329 0.6190939397
0005 000081 6418.84349 0.1770840850
0006 000097 6943.93074 0.0818040264
0007 000113 7286.93780 0.0493966720
0008 000130 7497.43545 0.0288869830
0009 000146 7592.93923 0.0127381924
0010 000162 7658.22633 0.0085983968
0011 000178 7725.76286 0.0088188215
0012 000195 7781.26640 0.0071842140
0013 000211 7811.43943 0.0038776504
0014 000227 7831.32217 0.0025453363
0015 000243 7848.41299 0.0021823677
0016 000259 7868.27876 0.0025311829
0017 000276 7898.44157 0.0038334690
0018 000292 7932.86659 0.0043584575
0019 000308 7953.93820 0.0026562425
0020 000324 7965.79895 0.0014911796
0021 000341 7974.51711 0.0010944482
0022 000357 7981.79879 0.0009131186
0023 000373 7988.17716 0.0007991145
0024 000389 7993.89601 0.0007159141
0025 000406 7999.09585 0.0006504765
0026 000422 8003.86885 0.0005966926
0027 000438 8008.28057 0.0005511988
0028 000454 8012.38034 0.0005119403
0029 000470 8016.20677 0.0004775655
0030 000487 8019.79110 0.0004471347
0031 000503 8023.15913 0.0004199651
0032 000519 8026.33264 0.0003955435
0033 000535 8029.33026 0.0003734733
0034 000551 8032.16817 0.0003534437
0035 000568 8034.86064 0.0003352101
0036 000584 8037.42042 0.0003185851
0037 000600 8039.85929 0.0003034385
0038 000616 8042.18853 0.0002897122
0039 000633 8044.41995 0.0002774638
0040 000649 8046.56763 0.0002669780
0041 000665 8048.65216 0.0002590581
0042 000681 8050.71128 0.0002558336
0043 000697 8052.83007 0.0002631812
0044 000714 8055.23448 0.0002985794
0045 000730 8058.59775 0.0004175261
0046 000746 8064.96858 0.0007905631
0047 000762 8079.08884 0.0017508135
0048 000779 8102.32607 0.0028762199
0049 000795 8120.50885 0.0022441430
0050 000811 8128.35662 0.0009664135
0051 000827 8132.49716 0.0005093938
0052 000844 8135.97467 0.0004276071
0053 000860 8140.17086 0.0005157582
0054 000876 8147.17250 0.0008601335
0055 000892 8160.32150 0.0016139339
0056 000909 8179.44523 0.0023435021
0057 000925 8197.37457 0.0021919997
0058 000941 8214.15418 0.0020469499
