nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 0.1000]
Staring Sample 9 - Loc: save/pmf/delicious-alg40-sp9-20170416155412031 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp9-20170416155412031 --user data/delicious/ctr-data/sp9/train-users.dat --item data/delicious/ctr-data/sp9/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp9-20170416155412031/ctr-log

iter time likelihood converge
0001 000048 -41895.42041 1.0000000000
0002 000100 -39653.17736 0.0535200035
0003 000151 -28940.61153 0.2701565560
0004 000202 -27797.84991 0.0394864365
0005 000253 -27622.19271 0.0063190932
0006 000304 -27533.17669 0.0032226267
0007 000355 -27470.38508 0.0022805798
0008 000406 -27421.21834 0.0017898088
0009 000458 -27381.09659 0.0014631644
0010 000509 -27347.62809 0.0012223214
0011 000560 -27319.29698 0.0010359625
0012 000611 -27295.04049 0.0008878884
0013 000662 -27274.07267 0.0007681916
0014 000713 -27255.79544 0.0006701319
0015 000764 -27239.74521 0.0005888742
0016 000816 -27225.55724 0.0005208552
0017 000867 -27212.94093 0.0004633996
0018 000918 -27201.66201 0.0004144690
0019 000970 -27191.52966 0.0003724902
0020 001021 -27182.38695 0.0003362338
0021 001072 -27174.10370 0.0003047285
0022 001124 -27166.57106 0.0002771990
0023 001175 -27159.69738 0.0002530200
0024 001226 -27153.40493 0.0002316834
0025 001277 -27147.62743 0.0002127727
0026 001328 -27142.30802 0.0001959438
0027 001380 -27137.39768 0.0001809109
0028 001431 -27132.85393 0.0001674348
0029 001478 -27128.63981 0.0001553144
0030 001506 -27124.72300 0.0001443793
0031 001534 -27121.07513 0.0001344849
0032 001562 -27117.67123 0.0001255075
0033 001590 -27114.48922 0.0001173408
0034 001617 -27111.50952 0.0001098934
0035 001645 -27108.71470 0.0001030861
0036 001672 -27106.08922 0.0000968500
0037 001699 -27103.61917 0.0000911252
0038 001727 -27101.29208 0.0000858592
0039 001754 -27099.09672 0.0000810059
0040 001782 -27097.02297 0.0000765247
0041 001809 -27095.06169 0.0000723800
0042 001836 -27093.20459 0.0000685399
0043 001871 -27091.44418 0.0000649763
0044 001899 -27089.77360 0.0000616643
0045 001928 -27088.18664 0.0000585814
0046 001956 -27086.67762 0.0000557078
0047 001983 -27085.24133 0.0000530255
0048 002011 -27083.87303 0.0000505185
0049 002038 -27082.56834 0.0000481723
0050 002065 -27081.32325 0.0000459739
0051 002096 -27080.13406 0.0000439115
0052 002123 -27078.99739 0.0000419746
0053 002151 -27077.91007 0.0000401534
0054 002178 -27076.86922 0.0000384392
0055 002205 -27075.87214 0.0000368240
0056 002234 -27074.91635 0.0000353006
0057 002262 -27073.99953 0.0000338624
0058 002289 -27073.11953 0.0000325033
