nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: 0.1000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214430184 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000151 -13038.50000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000235 -11981.34403:[2410.54458:-238.77015:-274.55512] 0.0810795696
0003 000348 -11089.82994:[5115.92760:-938.02002:-1009.36068] 0.0744085214
0004 000469 -10665.79911:[7472.51683:-1808.90946:-1545.91714] 0.0382360084
0005 000557 -10590.87376:[8206.71420:-2140.59707:-1694.24739] 0.0070248230
0006 000657 -10579.12786:[8367.01286:-2215.58731:-1732.19735] 0.0011090583
0007 000745 -10586.86115:[8396.84723:-2233.13651:-1748.16459] 0.0007309947
0008 000867 -10604.62760:[8387.78172:-2236.59033:-1759.27234] 0.0016781608
0009 000958 -10627.82801:[8362.45264:-2235.11424:-1768.79167] 0.0021877628
0010 001038 -10653.75485:[8329.04132:-2231.24566:-1777.39723] 0.0024395233
0011 001119 -10680.77524:[8291.52474:-2225.99677:-1785.25475] 0.0025362318
0012 001200 -10707.91286:[8252.13832:-2219.90221:-1792.43015] 0.0025407917
0013 001281 -10734.59824:[8212.20491:-2213.28734:-1798.97318] 0.0024921172
0014 001361 -10760.50859:[8172.51964:-2206.36204:-1804.93143] 0.0024137237
0015 001442 -10785.46785:[8133.56284:-2199.26611:-1810.35079] 0.0023195246
0016 001523 -10809.38688:[8095.62423:-2192.09535:-1815.27451] 0.0022177086
0017 001603 -10832.22795:[8058.87654:-2184.91723:-1819.74252] 0.0021130777
0018 001702 -10853.98324:[8023.42042:-2177.78065:-1823.79118] 0.0020083854
0019 001783 -10874.66129:[7989.31266:-2170.72213:-1827.45317] 0.0019051115
0020 001864 -10894.27855:[7956.58446:-2163.77013:-1830.75769] 0.0018039424
0021 001946 -10912.85446:[7925.25294:-2156.94799:-1833.73087] 0.0017051069
0022 002026 -10930.40900:[7895.32791:-2150.27594:-1836.39636] 0.0016086106
0023 002107 -10946.96179:[7866.81527:-2143.77224:-1838.77577] 0.0015143805
0024 002187 -10962.53206:[7839.71845:-2137.45373:-1840.88912] 0.0014223369
0025 002267 -10977.13875:[7814.03869:-2131.33594:-1842.75508] 0.0013324189
0026 002348 -10990.80078:[7789.77502:-2125.43312:-1844.39119] 0.0012445896
0027 002428 -11003.53738:[7766.92390:-2119.75823:-1845.81398] 0.0011588420
0028 002508 -11015.36850:[7745.47872:-2114.32287:-1847.03922] 0.0010752101
0029 002596 -11026.31532:[7725.42910:-2109.13720:-1848.08203] 0.0009937773
0030 002676 -11036.40078:[7706.76033:-2104.20992:-1848.95719] 0.0009146718
0031 002757 -11045.64978:[7689.45308:-2099.54817:-1849.67921] 0.0008380448
0032 002837 -11054.08920:[7673.48365:-2095.15761:-1850.26244] 0.0007640498
