nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Dspec: sp1/0150]
Init social model
Params [lbd-U: 100.0000|lbd-V: 0.1000|lbd-N: 100.0000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/bcdl/lastfm-alg61-sp1-cold20170218193324451 
CTR(chongwang)-DAE(User graph) Running - Walks(1)...
-1/300: 44843935.791786/838.915097/44843096.876689/1.000000000
-2/300: 44697509.310931/837.293033/44696672.017898/0.003265246
-3/300: 44697955.808669/837.269694/44697118.538975/0.000009989
-4/300: 44697683.349838/837.290703/44696846.059135/0.000006096
-5/300: 44699187.221514/837.319167/44698349.902347/0.000033645
-6/300: 44696855.930574/837.350233/44696018.580341/0.000052155
-7/300: 44700010.897484/837.382958/44699173.514526/0.000070586
-8/300: 44698570.635778/837.416555/44697733.219223/0.000032221
-9/300: 44698850.823509/837.450437/44698013.373072/0.000006268
-10/300: 44695661.184902/837.483782/44694823.701120/0.000071358
-11/300: 44695609.497800/837.516219/44694771.981581/0.000001156
-12/300: 44693750.946720/837.547869/44692913.398851/0.000041582
-13/300: 44695193.836039/837.578424/44694356.257615/0.000032284
-14/300: 44697088.012735/837.607459/44696250.405276/0.000042380
-15/300: 44696892.547332/837.634924/44696054.912408/0.000004373
-16/300: 44698971.600321/837.660893/44698133.939428/0.000046514
-17/300: 44696259.414581/837.685363/44695421.729218/0.000060677
-18/300: 44700001.774591/837.708327/44699164.066264/0.000083729
-19/300: 44700791.737901/837.729704/44699954.008197/0.000017673
-20/300: 44696528.433677/837.749654/44695690.684023/0.000095374
-21/300: 44696359.570638/837.768170/44695521.802468/0.000003778
-22/300: 44694709.469386/837.785368/44693871.684018/0.000036918
-23/300: 44698718.100167/837.801441/44697880.298726/0.000089689
-24/300: 44696214.967609/837.816306/44695377.151303/0.000056000
-25/300: 44700401.713722/837.830070/44699563.883652/0.000093671
-26/300: 44697225.720899/837.842911/44696387.877988/0.000071051
-27/300: 44700317.693931/837.854924/44699479.839007/0.000069176
-28/300: 44698600.749219/837.866025/44697762.883194/0.000038410
-29/300: 44699059.339613/837.876323/44698221.463290/0.000010260
-30/300: 44698770.529833/837.885917/44697932.643916/0.000006461
-31/300: 44697931.910506/837.894913/44697094.015593/0.000018762
-32/300: 44698149.463080/837.903186/44697311.559894/0.000004867
-33/300: 44695840.903685/837.910875/44695002.992810/0.000051648
-34/300: 44696424.425900/837.918179/44695586.507721/0.000013055
-35/300: 44697060.579842/837.924997/44696222.654845/0.000014233
-36/300: 44696348.233711/837.931373/44695510.302338/0.000015937
-37/300: 44694457.361649/837.937320/44693619.424329/0.000042305
-38/300: 44699008.978710/837.942890/44698171.035820/0.000101839
-39/300: 44696872.909915/837.948190/44696034.961725/0.000047788
-40/300: 44692526.554085/837.953174/44691688.600911/0.000097241
-41/300: 44696061.270968/837.957824/44695223.313144/0.000079090
-42/300: 44693860.901999/837.962233/44693022.939766/0.000049230
-43/300: 44695509.505527/837.966405/44694671.539122/0.000036887
