nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/2550]
Init social model
Using adagrad ...
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.0500]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170225193319019 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000271 -14472.50000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000535 -2094.99136:[26967.10411:-1104.75478:-2.25933] 0.8552432984
0003 000798 -1815.53483:[27035.48644:-859.57643:-2.32838] 0.1333926889
0004 001056 -1689.06900:[27075.14003:-753.01048:-2.40739] 0.0696576176
0005 001319 -1595.33683:[27099.15191:-671.33733:-2.50113] 0.0554933964
0006 001573 -1522.22874:[27115.62232:-606.50961:-2.59964] 0.0458261113
0007 001829 -1463.41901:[27127.47757:-553.66767:-2.70108] 0.0386339658
0008 002084 -1414.96953:[27136.33626:-509.68395:-2.80496] 0.0331070433
0009 002338 -1374.28561:[27143.15889:-472.44460:-2.91116] 0.0287525067
0010 002594 -1339.58577:[27148.54667:-440.46911:-3.01962] 0.0252493666
0011 002850 -1309.60507:[27152.89074:-412.68837:-3.13022] 0.0223805790
0012 003106 -1283.41921:[27156.45409:-388.30984:-3.24280] 0.0199952345
0013 003361 -1260.33586:[27159.41888:-366.73250:-3.35719] 0.0179858180
0014 003618 -1239.82518:[27161.91473:-347.49149:-3.47321] 0.0162739843
0015 003873 -1221.47398:[27164.03627:-330.22115:-3.59069] 0.0148014395
0016 004101 -1204.95480:[27165.85410:-314.62946:-3.70948] 0.0135239716
0017 004300 -1190.00436:[27167.42201:-300.48019:-3.82945] 0.0124074644
0018 004490 -1176.40835:[27168.78173:-287.57998:-3.95048] 0.0114251820
0019 004677 -1163.99032:[27169.96613:-275.76896:-4.07246] 0.0105558808
0020 004851 -1152.60362:[27171.00151:-264.91371:-4.19528] 0.0097824737
0021 005021 -1142.12522:[27171.90916:-254.90194:-4.31887] 0.0090910652
0022 005193 -1132.45114:[27172.70651:-245.63845:-4.44314] 0.0084702446
0023 005364 -1123.49282:[27173.40798:-237.04196:-4.56803] 0.0079105591
0024 005534 -1115.17435:[27174.02559:-229.04265:-4.69346] 0.0074041159
0025 005704 -1107.43027:[27174.56948:-221.58016:-4.81938] 0.0069442774
0026 005874 -1100.20382:[27175.04821:-214.60208:-4.94573] 0.0065254246
0027 006044 -1093.44552:[27175.46912:-208.06263:-5.07246] 0.0061427727
0028 006215 -1087.11203:[27175.83848:-201.92169:-5.19952] 0.0057922241
0029 006386 -1081.16526:[27176.16173:-196.14387:-5.32687] 0.0054702519
0030 006555 -1075.57152:[27176.44356:-190.69792:-5.45446] 0.0051738058
0031 006725 -1070.30096:[27176.68809:-185.55605:-5.58225] 0.0049002365
0032 006896 -1065.32703:[27176.89891:-180.69355:-5.71021] 0.0046472327
0033 007065 -1060.62598:[27177.07918:-176.08829:-5.83830] 0.0044127707
0034 007234 -1056.17658:[27177.23169:-171.72045:-5.96649] 0.0041950719
