nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp3/2550]
Init social model
Using adagrad ...
Load pretrained shallow-model...
Params [lbd-U: 0.1000|lbd-V: 1.0000|lbd-N: 0.1000|lbd-Q: 0.0500]
Staring Sample 3 - Loc: save/bcdl/delicious-alg61-sp3-cold20170226125817978 
CTR(chongwang)-DAE(User graph) Running - Walks(1)...
-1/200: 49858.727771/6280.629666/43578.098105/1.000000000
-2/200: 48011.332730/4513.063983/43498.268747/0.037052591
-3/200: 47128.100821/3626.612019/43501.488802/0.018396321
-4/200: 46875.685969/3362.998730/43512.687239/0.005355931
-5/200: 46744.416809/3229.473530/43514.943279/0.002800368
-6/200: 46666.212974/3150.782948/43515.430026/0.001673009
-7/200: 46619.438801/3101.716994/43517.721807/0.001002313
-8/200: 46587.926422/3069.687746/43518.238676/0.000675949
-9/200: 46565.833461/3047.891254/43517.942207/0.000474221
-10/200: 46550.725956/3032.460957/43518.264999/0.000324433
-11/200: 46538.758425/3021.123103/43517.635322/0.000257086
-12/200: 46529.593212/3012.504618/43517.088594/0.000196937
-13/200: 46524.000213/3005.756603/43518.243610/0.000120203
-14/200: 46519.213626/3000.341673/43518.871953/0.000102884
-15/200: 46513.792272/2995.909339/43517.882933/0.000116540
-16/200: 46510.483504/2992.224216/43518.259288/0.000071135
-17/200: 46508.158827/2989.123920/43519.034907/0.000049982
-18/200: 46506.948864/2986.490957/43520.457907/0.000026016
-19/200: 46503.800750/2984.239853/43519.560897/0.000067691
-20/200: 46502.256918/2982.304054/43519.952864/0.000033198
-21/200: 46499.290982/2980.632719/43518.658263/0.000063780
-22/200: 46499.447653/2979.184144/43520.263509/0.000003369
-23/200: 46498.783710/2977.925261/43520.858449/0.000014279
-24/200: 46498.127880/2976.827952/43521.299928/0.000014104
-25/200: 46496.145671/2975.869075/43520.276596/0.000042630
-26/200: 46495.632028/2975.028498/43520.603530/0.000011047
-27/200: 46494.370493/2974.289382/43520.081111/0.000027132
-28/200: 46495.734063/2973.636943/43522.097120/0.000029328
-29/200: 46494.899477/2973.058455/43521.841022/0.000017950
-30/200: 46493.808697/2972.543390/43521.265307/0.000023460
-31/200: 46493.496327/2972.081648/43521.414679/0.000006719
-32/200: 46493.840479/2971.665798/43522.174681/0.000007402
-33/200: 46491.092466/2971.288320/43519.804146/0.000059105
-34/200: 46493.134757/2970.943248/43522.191509/0.000043929
-35/200: 46491.043322/2970.625344/43520.417978/0.000044984
-36/200: 46492.313132/2970.330515/43521.982617/0.000027313
-37/200: 46492.065958/2970.054784/43522.011174/0.000005316
-38/200: 46491.358461/2969.794916/43521.563545/0.000015218
-39/200: 46491.780031/2969.548701/43522.231330/0.000009068
-40/200: 46491.300467/2969.313655/43521.986812/0.000010315
-41/200: 46492.362066/2969.088026/43523.274040/0.000022834
-42/200: 46492.210954/2968.870514/43523.340440/0.000003250
-43/200: 46491.856205/2968.659643/43523.196562/0.000007630
