Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000|lbd-scale: 1.0000]
Staring Sample 1 - Loc: save/pretrain/data/delicious/vmodel/shallow 
Train DAE - Item side ...
datalink: data/delicious/data_item/
doing pretrain from scratch
Training DAE (1)
Epoch 1/500 - recon_error: 6.516396 norms: 0.000048/0.000002/0.000080
Epoch 2/500 - recon_error: 6.515303 norms: 0.000048/0.000002/0.000140
Epoch 3/500 - recon_error: 6.514588 norms: 0.000048/0.000002/0.000217
Epoch 4/500 - recon_error: 6.514021 norms: 0.000047/0.000003/0.000310
Epoch 5/500 - recon_error: 6.513530 norms: 0.000047/0.000003/0.000419
Epoch 6/500 - recon_error: 6.513084 norms: 0.000047/0.000003/0.000544
Epoch 7/500 - recon_error: 6.512665 norms: 0.000046/0.000004/0.000684
Epoch 8/500 - recon_error: 6.512263 norms: 0.000046/0.000004/0.000839
Epoch 9/500 - recon_error: 6.511872 norms: 0.000046/0.000005/0.001010
Epoch 10/500 - recon_error: 6.511487 norms: 0.000046/0.000005/0.001195
Epoch 11/500 - recon_error: 6.511106 norms: 0.000045/0.000005/0.001395
Epoch 12/500 - recon_error: 6.510726 norms: 0.000045/0.000006/0.001609
Epoch 13/500 - recon_error: 6.510345 norms: 0.000045/0.000006/0.001838
Epoch 14/500 - recon_error: 6.509962 norms: 0.000044/0.000007/0.002080
Epoch 15/500 - recon_error: 6.509575 norms: 0.000044/0.000007/0.002337
Epoch 16/500 - recon_error: 6.509183 norms: 0.000044/0.000008/0.002607
Epoch 17/500 - recon_error: 6.508786 norms: 0.000044/0.000008/0.002891
Epoch 18/500 - recon_error: 6.508382 norms: 0.000043/0.000009/0.003188
Epoch 19/500 - recon_error: 6.507970 norms: 0.000043/0.000009/0.003498
Epoch 20/500 - recon_error: 6.507551 norms: 0.000043/0.000010/0.003821
Epoch 21/500 - recon_error: 6.507122 norms: 0.000043/0.000010/0.004157
Epoch 22/500 - recon_error: 6.506684 norms: 0.000042/0.000011/0.004506
Epoch 23/500 - recon_error: 6.506235 norms: 0.000042/0.000011/0.004867
Epoch 24/500 - recon_error: 6.505775 norms: 0.000042/0.000012/0.005240
Epoch 25/500 - recon_error: 6.505304 norms: 0.000042/0.000012/0.005626
Epoch 26/500 - recon_error: 6.504820 norms: 0.000041/0.000013/0.006023
Epoch 27/500 - recon_error: 6.504323 norms: 0.000041/0.000013/0.006433
Epoch 28/500 - recon_error: 6.503813 norms: 0.000041/0.000014/0.006854
Epoch 29/500 - recon_error: 6.503288 norms: 0.000041/0.000014/0.007286
Epoch 30/500 - recon_error: 6.502747 norms: 0.000040/0.000015/0.007730
Epoch 31/500 - recon_error: 6.502191 norms: 0.000040/0.000015/0.008186
Epoch 32/500 - recon_error: 6.501618 norms: 0.000040/0.000016/0.008652
Epoch 33/500 - recon_error: 6.501028 norms: 0.000040/0.000017/0.009130
