Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000|lbd-scale: 1.0000]
Staring Sample 1 - Loc: save/pretrain/data/lastfm/vmodel/shallow 
Train DAE - Item side ...
datalink: data/lastfm/data_item/
doing pretrain from scratch
Training DAE (1)
Epoch 1/500 - recon_error: 7.534185 norms: 0.000199/0.000016/0.000095
Epoch 2/500 - recon_error: 7.529402 norms: 0.000198/0.000017/0.000185
Epoch 3/500 - recon_error: 7.524550 norms: 0.000197/0.000018/0.000300
Epoch 4/500 - recon_error: 7.519289 norms: 0.000196/0.000019/0.000439
Epoch 5/500 - recon_error: 7.513466 norms: 0.000195/0.000020/0.000601
Epoch 6/500 - recon_error: 7.506964 norms: 0.000194/0.000021/0.000784
Epoch 7/500 - recon_error: 7.499677 norms: 0.000193/0.000022/0.000987
Epoch 8/500 - recon_error: 7.491502 norms: 0.000192/0.000022/0.001208
Epoch 9/500 - recon_error: 7.482339 norms: 0.000191/0.000023/0.001448
Epoch 10/500 - recon_error: 7.472086 norms: 0.000190/0.000024/0.001703
Epoch 11/500 - recon_error: 7.460650 norms: 0.000189/0.000025/0.001975
Epoch 12/500 - recon_error: 7.447945 norms: 0.000188/0.000026/0.002261
Epoch 13/500 - recon_error: 7.433896 norms: 0.000188/0.000027/0.002562
Epoch 14/500 - recon_error: 7.418450 norms: 0.000187/0.000028/0.002876
Epoch 15/500 - recon_error: 7.401575 norms: 0.000186/0.000029/0.003203
Epoch 16/500 - recon_error: 7.383269 norms: 0.000185/0.000030/0.003542
Epoch 17/500 - recon_error: 7.363565 norms: 0.000184/0.000031/0.003893
Epoch 18/500 - recon_error: 7.342531 norms: 0.000183/0.000032/0.004255
Epoch 19/500 - recon_error: 7.320276 norms: 0.000182/0.000033/0.004628
Epoch 20/500 - recon_error: 7.296947 norms: 0.000182/0.000034/0.005011
Epoch 21/500 - recon_error: 7.272726 norms: 0.000181/0.000035/0.005404
Epoch 22/500 - recon_error: 7.247824 norms: 0.000180/0.000036/0.005806
Epoch 23/500 - recon_error: 7.222476 norms: 0.000179/0.000037/0.006218
Epoch 24/500 - recon_error: 7.196926 norms: 0.000178/0.000038/0.006638
Epoch 25/500 - recon_error: 7.171422 norms: 0.000177/0.000038/0.007067
Epoch 26/500 - recon_error: 7.146204 norms: 0.000177/0.000039/0.007503
Epoch 27/500 - recon_error: 7.121490 norms: 0.000176/0.000040/0.007948
Epoch 28/500 - recon_error: 7.097476 norms: 0.000175/0.000041/0.008400
Epoch 29/500 - recon_error: 7.074323 norms: 0.000174/0.000042/0.008859
Epoch 30/500 - recon_error: 7.052159 norms: 0.000173/0.000043/0.009326
Epoch 31/500 - recon_error: 7.031074 norms: 0.000173/0.000044/0.009799
Epoch 32/500 - recon_error: 7.011123 norms: 0.000172/0.000045/0.010278
Epoch 33/500 - recon_error: 6.992331 norms: 0.000171/0.000046/0.010765
Epoch 34/500 - recon_error: 6.974691 norms: 0.000170/0.000047/0.011257
Epoch 35/500 - recon_error: 6.958176 norms: 0.000170/0.000048/0.011755
Epoch 36/500 - recon_error: 6.942736 norms: 0.000169/0.000049/0.012259
Epoch 37/500 - recon_error: 6.928312 norms: 0.000168/0.000050/0.012769
Epoch 38/500 - recon_error: 6.914831 norms: 0.000167/0.000051/0.013284
Epoch 39/500 - recon_error: 6.902216 norms: 0.000166/0.000052/0.013804
Epoch 40/500 - recon_error: 6.890386 norms: 0.000166/0.000053/0.014330
Epoch 41/500 - recon_error: 6.879262 norms: 0.000165/0.000054/0.014860
Epoch 42/500 - recon_error: 6.868765 norms: 0.000164/0.000055/0.015396
